Strategy,Model,Accuracy,Precision,Recall,F1,MCC,AUC,Training Time,Model Parameters,CV Scores
Base,LogisticRegression,0.906,0.652,0.322,0.431,0.415,0.65,1094.008,"{'cf__C': 10, 'cf__penalty': 'l1', 'cf__solver': 'liblinear'}",[0.41832253 0.42707889 0.44205627 0.42984699 0.42915262]
Base,RandomForestClassifier,0.908,0.72,0.268,0.39,0.403,0.627,3600.33,"{'cf__max_depth': None, 'cf__n_estimators': 75}",[0.39232531 0.40321367 0.41429885 0.40968577 0.38207211]
Base,XGBClassifier,0.913,0.701,0.374,0.487,0.471,0.677,1984.737,"{'cf__eta': 0.2, 'cf__gamma': 0.0, 'cf__max_depth': 3, 'cf__min_child_weight': 1, 'cf__tree_method': 'gpu_hist'}",[0.47364072 0.46298461 0.4848551  0.47490325 0.46448186]
SMOTE,LogisticRegression,0.812,0.343,0.774,0.475,0.428,0.795,974.111,"{'cf__C': 0.1, 'cf__penalty': 'l1', 'cf__solver': 'liblinear'}",[0.42588286 0.43416801 0.4204781  0.42750929 0.42741532]
SMOTE,RandomForestClassifier,0.88,0.465,0.602,0.525,0.462,0.758,5434.984,"{'cf__max_depth': 13, 'cf__n_estimators': 75}",[0.47215543 0.45937085 0.45842488 0.44852038 0.46362896]
SMOTE,XGBClassifier,0.905,0.585,0.492,0.534,0.485,0.724,3706.837,"{'cf__eta': 0.2, 'cf__gamma': 0.2, 'cf__max_depth': 3, 'cf__min_child_weight': 1, 'cf__tree_method': 'gpu_hist'}",[0.48480965 0.50460123 0.47827477 0.48149215 0.49709507]
Cost,LogisticRegression,0.804,0.335,0.791,0.471,0.425,0.798,1625.598,"{'cf__C': 1, 'cf__penalty': 'l1', 'cf__solver': 'liblinear'}",[0.42165791 0.42112043 0.42433957 0.42832447 0.41835894]
Cost,RandomForestClassifier,0.877,0.457,0.616,0.525,0.462,0.763,2654.962,"{'cf__max_depth': 13, 'cf__n_estimators': 100}",[0.45641208 0.47465903 0.46296407 0.45225948 0.46541343]
Cost,XGBClassifier,0.868,0.437,0.697,0.537,0.482,0.793,2107.981,"{'cf__eta': 0.1, 'cf__gamma': 0.2, 'cf__max_depth': 9, 'cf__min_child_weight': 3, 'cf__scale_pos_weight': 8.066666666666666, 'cf__tree_method': 'gpu_hist'}",[0.4720808  0.47407429 0.47226726 0.47520983 0.47609236]
Base,NeuralNetwork,0.867,0.435,0.679,0.53,0.473,0.879,1207.72,Omitted,Not Applicable
SMOTE,NeuralNetwork,0.819,0.354,0.772,0.485,0.438,0.874,3471.763,Omitted,Not Applicable
